state,chamber,name,code
MA,upper,Second Bristol & Plymouth,038
MA,upper,First Suffolk & Middlesex,027
MA,upper,Second Hampden & Hampshire,005
MA,upper,Second Essex & Middlesex,018
MA,upper,Second Middlesex & Norfolk,015
MI,lower,State House Districts not defined,ZZZ
MN,lower,08B,08B
MN,lower,03A,03A
MN,lower,01B,01B
MN,lower,01A,01A
MN,lower,02A,02A
MN,lower,04B,04B
MN,lower,09A,09A
MN,lower,03B,03B
MN,lower,09B,09B
MN,lower,05A,05A
MN,lower,05B,05B
MN,lower,06B,06B
MN,lower,07B,07B
MN,lower,02B,02B
MN,lower,06A,06A
MN,lower,08A,08A
MN,lower,07A,07A
MN,lower,04A,04A
MN,upper,01,001
MN,upper,09,009
MN,upper,08,008
MN,upper,05,005
MN,upper,02,002
MN,upper,04,004
MN,upper,03,003
MN,upper,07,007
MN,upper,06,006
NH,lower,Hillsborough County No. 16,516
NH,lower,Cheshire County No. 2,202
NH,lower,Hillsborough County No. 23,523
NH,lower,Grafton County No. 11,411
NH,lower,Rockingham County No. 26,726
NH,lower,Rockingham County No. 17,717
NH,lower,Coos County No. 1,301
NH,lower,Hillsborough County No. 28,528
NH,lower,Rockingham County No. 11,711
NH,lower,Rockingham County No. 1,701
NH,lower,Merrimack County No. 16,616
NH,lower,Hillsborough County No. 20,520
NH,lower,Strafford County No. 2,802
NH,lower,Hillsborough County No. 24,524
NH,lower,Hillsborough County No. 17,517
NH,lower,Strafford County No. 3,803
NH,lower,Grafton County No. 10,410
NH,lower,Merrimack County No. 18,618
NH,lower,Hillsborough County No. 26,526
NH,lower,Merrimack County No. 14,614
NH,lower,Cheshire County No. 7,207
NH,lower,Hillsborough County No. 25,525
NH,lower,Strafford County No. 6,806
NH,lower,Hillsborough County No. 32,532
NH,lower,Hillsborough County No. 30,530
NH,lower,Sullivan County No. 4,904
NH,lower,Hillsborough County No. 34,534
NH,lower,Strafford County No. 13,813
NH,lower,Strafford County No. 4,804
NH,lower,Rockingham County No. 29,729
NH,lower,Hillsborough County No. 8,508
NH,lower,Rockingham County No. 9,709
NH,lower,Belknap County No. 7,007
NH,lower,Carroll County No. 1,101
NH,lower,Rockingham County No. 12,712
NH,lower,Hillsborough County No. 12,512
NH,lower,Rockingham County No. 6,706
NH,lower,Coos County No. 3,303
NH,lower,Merrimack County No. 15,615
NH,lower,Cheshire County No. 13,213
NH,lower,Cheshire County No. 4,204
NH,lower,Grafton County No. 8,408
NH,lower,Hillsborough County No. 14,514
NH,lower,Merrimack County No. 4,604
NH,lower,Rockingham County No. 10,710
NH,lower,Hillsborough County No. 7,507
NH,lower,Hillsborough County No. 1,501
NH,lower,Hillsborough County No. 5,505
NH,lower,Coos County No. 5,305
NH,lower,Hillsborough County No. 11,511
NH,lower,Hillsborough County No. 19,519
NH,lower,Rockingham County No. 25,725
NH,lower,Hillsborough County No. 15,515
